season_year,snapshot_date,rank,team,record,wins,losses,rating,hi,lo,last,source_url
2017,03/15/2017,1,Duke,27-8,27,8,12.9,1,152,1,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2017
2017,03/15/2017,2,Louisville,24-8,24,8,12.2,1,197,2,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2017
2017,03/15/2017,3,Virginia,22-10,22,10,12.2,1,152,3,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2017
2017,03/15/2017,4,North Carolina,27-7,27,7,12.1,1,174,4,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2017
2017,03/15/2017,5,Kansas,28-4,28,4,12.1,1,19,5,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2017
2017,03/15/2017,6,Iowa St,23-10,23,10,12.1,2,330,6,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2017
2017,03/15/2017,7,Oklahoma St,20-12,20,12,11.5,5,341,7,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2017
2017,03/15/2017,8,Baylor,25-7,25,7,11.5,3,251,8,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2017
2017,03/15/2017,9,West Virginia,26-8,26,8,11.3,4,303,9,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2017
2017,03/15/2017,10,Florida,24-8,24,8,10.9,1,136,10,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2017
2017,03/15/2017,11,Notre Dame,25-9,25,9,10.8,11,329,11,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2017
2017,03/15/2017,12,Villanova,31-3,31,3,10.7,3,193,12,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2017
2017,03/15/2017,13,Florida St,25-8,25,8,10.3,13,273,13,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2017
2017,03/15/2017,14,Kentucky,29-5,29,5,10.3,1,173,14,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2017
2017,03/15/2017,15,Butler,23-8,23,8,10.1,8,278,15,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2017
2017,03/15/2017,16,Miami,21-11,21,11,10.0,14,274,16,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2017
2017,03/15/2017,17,Oklahoma,11-20,11,20,10.0,13,312,17,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2017
2017,03/15/2017,18,Texas,11-22,11,22,10.0,16,315,19,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2017
2017,03/15/2017,19,Wisconsin,25-9,25,9,10.0,2,233,18,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2017
2017,03/15/2017,20,Michigan,24-11,24,11,9.9,10,274,21,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2017
