season_year,snapshot_date,rank,team,record,wins,losses,rating,hi,lo,last,source_url
2014,03/15/2014,1,Kansas,24-9,24,9,11.0,1,245,2,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2014
2014,03/15/2014,2,Michigan,24-7,24,7,11.0,1,330,1,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2014
2014,03/15/2014,3,Wisconsin,26-6,26,6,10.1,2,63,3,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2014
2014,03/15/2014,4,Iowa,20-12,20,12,9.8,2,306,5,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2014
2014,03/15/2014,5,Michigan St,24-8,24,8,9.8,3,221,4,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2014
2014,03/15/2014,6,Arizona,30-3,30,3,9.7,4,210,6,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2014
2014,03/15/2014,7,Duke,25-7,25,7,9.4,2,167,7,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2014
2014,03/15/2014,8,Villanova,28-4,28,4,9.2,2,288,8,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2014
2014,03/15/2014,9,Iowa St,25-7,25,7,9.0,5,327,10,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2014
2014,03/15/2014,10,Oklahoma St,21-12,21,12,8.9,3,233,9,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2014
2014,03/15/2014,11,Florida St,19-13,19,13,8.7,2,277,14,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2014
2014,03/15/2014,12,Florida,30-2,30,2,8.6,2,240,12,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2014
2014,03/15/2014,13,Creighton,26-6,26,6,8.6,9,300,13,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2014
2014,03/15/2014,14,Ohio St,25-8,25,8,8.6,7,202,11,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2014
2014,03/15/2014,15,North Carolina,23-9,23,9,8.5,2,225,16,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2014
2014,03/15/2014,16,Virginia,26-6,26,6,8.5,8,256,15,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2014
2014,03/15/2014,17,Kentucky,23-9,23,9,8.3,2,206,18,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2014
2014,03/15/2014,18,Illinois,19-14,19,14,8.2,18,302,22,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2014
2014,03/15/2014,19,Syracuse,27-5,27,5,8.2,13,305,17,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2014
2014,03/15/2014,20,Xavier,21-12,21,12,8.1,20,257,23,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2014
2014,03/15/2014,21,Georgetown,17-14,17,14,8.1,5,55,19,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2014
2014,03/15/2014,22,Marquette,17-15,17,15,8.1,9,301,20,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2014
2014,03/15/2014,23,Stanford,21-12,21,12,7.9,15,164,24,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2014
2014,03/15/2014,24,Louisville,28-5,28,5,7.9,1,236,21,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2014
2014,03/15/2014,25,Minnesota,20-13,20,13,7.8,19,197,25,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2014
2014,03/15/2014,26,Nebraska,19-12,19,12,7.7,26,314,31,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2014
2014,03/15/2014,27,Oklahoma,23-9,23,9,7.7,19,171,26,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2014
