season_year,snapshot_date,rank,team,record,wins,losses,rating,hi,lo,last,source_url
2013,03/15/2013,1,Indiana,26-5,26,5,10.2,1,229,1,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2013
2013,03/15/2013,2,Ohio St,23-7,23,7,9.9,1,226,3,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2013
2013,03/15/2013,3,Michigan St,24-7,24,7,9.9,1,52,2,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2013
2013,03/15/2013,4,Wisconsin,21-10,21,10,9.8,1,236,4,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2013
2013,03/15/2013,5,Louisville,27-5,27,5,9.8,2,290,5,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2013
2013,03/15/2013,6,Duke,27-4,27,4,9.5,1,200,6,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2013
2013,03/15/2013,7,Minnesota,20-12,20,12,9.4,2,236,8,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2013
2013,03/15/2013,8,Michigan,26-6,26,6,9.3,1,306,7,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2013
2013,03/15/2013,9,Florida,24-6,24,6,9.0,2,210,9,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2013
2013,03/15/2013,10,Syracuse,25-8,25,8,8.7,8,65,11,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2013
2013,03/15/2013,11,Kansas,27-5,27,5,8.6,4,245,10,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2013
2013,03/15/2013,12,Georgetown,25-5,25,5,8.3,11,237,13,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2013
2013,03/15/2013,13,Marquette,23-8,23,8,8.2,9,324,12,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2013
2013,03/15/2013,14,Pittsburgh,24-8,24,8,7.9,10,280,18,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2013
2013,03/15/2013,15,Illinois,22-11,22,11,7.9,12,293,14,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2013
2013,03/15/2013,16,Baylor,18-14,18,14,7.7,11,164,20,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2013
2013,03/15/2013,17,Kentucky,21-10,21,10,7.7,1,93,15,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2013
2013,03/15/2013,18,North Carolina,22-9,22,9,7.6,6,256,17,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2013
2013,03/15/2013,19,Missouri,23-9,23,9,7.6,6,336,16,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2013
2013,03/15/2013,20,Oklahoma St,24-7,24,7,7.5,10,290,22,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2013
2013,03/15/2013,21,Miami,24-6,24,6,7.5,7,218,19,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2013
2013,03/15/2013,22,Oklahoma,20-11,20,11,7.5,11,324,23,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2013
2013,03/15/2013,23,Kansas St,26-6,26,6,7.4,12,294,21,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2013
2013,03/15/2013,24,Cincinnati,22-11,22,11,7.3,16,331,24,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2013
2013,03/15/2013,25,Villanova,20-13,20,13,7.1,24,320,26,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2013
2013,03/15/2013,26,Iowa St,22-10,22,10,7.0,18,326,25,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2013
2013,03/15/2013,27,Notre Dame,25-8,25,8,6.9,22,222,31,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2013
2013,03/15/2013,28,Arizona,25-6,25,6,6.8,7,279,28,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2013
2013,03/15/2013,29,Colorado,21-11,21,11,6.8,9,263,33,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2013
2013,03/15/2013,30,UConn,20-10,20,10,6.7,17,95,29,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2013
2013,03/15/2013,31,NC State,23-9,23,9,6.6,11,239,27,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2013
2013,03/15/2013,32,Iowa,21-11,21,11,6.5,21,337,32,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2013
2013,03/15/2013,33,Purdue,15-17,15,17,6.5,30,159,30,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2013
2013,03/15/2013,34,Stanford,18-14,18,14,6.3,13,228,35,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2013
2013,03/15/2013,35,New Mexico,27-5,27,5,6.3,19,113,36,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2013
2013,03/15/2013,36,Tennessee,20-11,20,11,6.2,12,292,34,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2013
2013,03/15/2013,37,USC,14-18,14,18,6.1,14,297,37,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2013
2013,03/15/2013,38,Gonzaga,31-2,31,2,6.1,6,261,39,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2013
2013,03/15/2013,39,Butler,25-7,25,7,5.9,3,224,41,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2013
2013,03/15/2013,40,California,20-11,20,11,5.9,14,276,38,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2013
2013,03/15/2013,41,UCLA,24-8,24,8,5.9,5,224,40,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2013
