season_year,snapshot_date,rank,team,record,wins,losses,rating,hi,lo,last,source_url
2012,03/15/2012,1,Michigan St,27-7,27,7,15.7,1,47,1,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2012
2012,03/15/2012,2,Ohio St,27-7,27,7,15.4,1,189,2,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2012
2012,03/15/2012,3,Kansas,27-6,27,6,14.5,1,193,3,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2012
2012,03/15/2012,4,Wisconsin,24-9,24,9,14.1,2,169,4,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2012
2012,03/15/2012,5,North Carolina,29-5,29,5,13.7,1,54,5,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2012
2012,03/15/2012,6,Indiana,25-8,25,8,13.7,3,283,6,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2012
2012,03/15/2012,7,Kentucky,32-2,32,2,13.4,1,98,7,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2012
2012,03/15/2012,8,Baylor,27-7,27,7,13.4,7,288,8,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2012
2012,03/15/2012,9,Duke,27-6,27,6,13.3,1,48,9,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2012
2012,03/15/2012,10,Michigan,24-9,24,9,13.2,8,342,10,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2012
2012,03/15/2012,11,Missouri,30-4,30,4,12.7,8,257,11,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2012
2012,03/15/2012,12,Florida,23-10,23,10,12.4,1,205,12,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2012
