season_year,snapshot_date,rank,team,record,wins,losses,rating,hi,lo,last,source_url
2011,03/15/2011,1,UConn,26-9,26,9,19.1,1,281,1,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2011
2011,03/15/2011,2,Ohio St,32-2,32,2,19.1,1,191,2,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2011
2011,03/15/2011,3,Purdue,25-7,25,7,19.0,1,281,3,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2011
2011,03/15/2011,4,Wisconsin,23-8,23,8,19.0,1,233,4,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2011
2011,03/15/2011,5,Illinois,19-13,19,13,18.9,1,287,5,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2011
2011,03/15/2011,6,West Virginia,20-11,20,11,18.8,2,199,6,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2011
2011,03/15/2011,7,Georgetown,21-10,21,10,18.8,1,45,7,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2011
2011,03/15/2011,8,North Carolina,26-7,26,7,18.8,3,170,8,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2011
2011,03/15/2011,9,Michigan St,19-14,19,14,18.7,1,246,9,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2011
2011,03/15/2011,10,Notre Dame,26-6,26,6,18.6,5,317,10,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2011
2011,03/15/2011,11,Texas,27-7,27,7,18.6,1,261,11,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2011
2011,03/15/2011,12,Duke,30-4,30,4,18.6,2,109,12,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2011
2011,03/15/2011,13,Kentucky,25-8,25,8,18.5,1,266,13,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2011
2011,03/15/2011,14,Kansas,32-2,32,2,18.3,1,127,14,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2011
2011,03/15/2011,15,Pittsburgh,27-5,27,5,18.2,5,132,15,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2011
2011,03/15/2011,16,Marquette,20-14,20,14,18.1,6,267,16,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2011
2011,03/15/2011,17,Louisville,25-9,25,9,18.0,16,178,17,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2011
2011,03/15/2011,18,Penn St,19-14,19,14,17.8,14,324,18,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2011
2011,03/15/2011,19,St John's,21-11,21,11,17.8,5,144,19,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2011
2011,03/15/2011,20,Syracuse,26-7,26,7,17.7,5,235,20,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2011
2011,03/15/2011,21,Kansas St,22-10,22,10,17.7,6,286,21,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2011
2011,03/15/2011,22,Michigan,20-13,20,13,17.5,13,338,22,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2011
2011,03/15/2011,23,Florida,26-7,26,7,16.9,5,212,23,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2011
2011,03/15/2011,24,Washington,23-10,23,10,16.7,2,196,24,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2011
2011,03/15/2011,25,BYU,30-4,30,4,16.7,4,278,26,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2011
2011,03/15/2011,26,Seton Hall,13-18,13,18,16.7,18,76,25,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2011
2011,03/15/2011,27,Villanova,21-11,21,11,16.6,21,230,27,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2011
2011,03/15/2011,28,Missouri,23-10,23,10,16.5,13,291,28,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2011
2011,03/15/2011,29,Maryland,19-14,19,14,16.4,15,315,29,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2011
2011,03/15/2011,30,Minnesota,17-14,17,14,16.4,9,168,30,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2011
2011,03/15/2011,31,San Diego St,32-2,32,2,16.3,10,139,31,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2011
2011,03/15/2011,32,Vanderbilt,23-10,23,10,16.3,2,258,32,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2011
2011,03/15/2011,33,Tennessee,19-14,19,14,16.3,3,255,33,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2011
