season_year,snapshot_date,rank,team,record,wins,losses,rating,hi,lo,last,source_url
2020,03/15/2020,1,Kansas,28-3,28,3,12.1,1,20,1,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2020
2020,03/15/2020,2,Michigan St,22-9,22,9,12.1,1,8,2,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2020
2020,03/15/2020,3,Michigan,19-12,19,12,11.8,1,221,3,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2020
2020,03/15/2020,4,Ohio St,21-10,21,10,11.3,4,90,4,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2020
2020,03/15/2020,5,Maryland,24-7,24,7,11.2,4,260,5,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2020
2020,03/15/2020,6,Purdue,16-15,16,15,11.0,4,201,7,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2020
2020,03/15/2020,7,Wisconsin,21-10,21,10,10.9,4,84,8,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2020
2020,03/15/2020,8,Minnesota,15-16,15,16,10.9,4,280,6,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2020
2020,03/15/2020,9,Iowa,20-11,20,11,10.9,6,325,10,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2020
2020,03/15/2020,10,Baylor,26-4,26,4,10.8,6,249,9,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2020
2020,03/15/2020,11,Seton Hall,21-9,21,9,10.5,4,272,11,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2020
2020,03/15/2020,12,Penn St,21-10,21,10,10.4,7,340,12,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2020
2020,03/15/2020,13,West Virginia,21-10,21,10,10.3,8,160,13,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2020
2020,03/15/2020,14,Villanova,24-7,24,7,10.2,3,283,14,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2020
2020,03/15/2020,15,Oklahoma,19-12,19,12,10.2,12,214,15,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2020
2020,03/15/2020,16,Indiana,20-12,20,12,9.9,14,339,16,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2020
2020,03/15/2020,17,Illinois,21-10,21,10,9.9,13,258,17,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2020
2020,03/15/2020,18,Texas Tech,18-13,18,13,9.9,14,323,18,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2020
2020,03/15/2020,19,Butler,22-9,22,9,9.8,10,298,19,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2020
2020,03/15/2020,20,Creighton,24-7,24,7,9.8,14,329,20,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2020
2020,03/15/2020,21,Duke,25-6,25,6,9.8,1,33,21,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2020
