season_year,snapshot_date,rank,team,record,wins,losses,rating,hi,lo,last,source_url
2021,03/15/2021,1,Illinois,23-6,23,6,13.8,1,291,1,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2021
2021,03/15/2021,2,Iowa,21-8,21,8,13.4,1,290,2,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2021
2021,03/15/2021,3,Ohio St,21-9,21,9,13.3,3,265,3,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2021
2021,03/15/2021,4,Penn St,11-14,11,14,12.9,1,290,4,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2021
2021,03/15/2021,5,Wisconsin,17-12,17,12,12.7,3,265,5,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2021
2021,03/15/2021,6,Indiana,12-15,12,15,12.6,3,309,6,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2021
2021,03/15/2021,7,Michigan,20-4,20,4,12.4,6,246,7,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2021
2021,03/15/2021,8,Rutgers,15-11,15,11,12.3,3,290,8,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2021
2021,03/15/2021,9,Kansas,20-8,20,8,12.2,1,91,9,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2021
2021,03/15/2021,10,Purdue,18-9,18,9,11.9,5,71,10,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2021
2021,03/15/2021,11,Texas,19-7,19,7,11.9,2,279,11,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2021
2021,03/15/2021,12,Oklahoma St,20-8,20,8,11.9,10,127,12,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2021
2021,03/15/2021,13,West Virginia,18-9,18,9,11.9,3,40,13,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2021
2021,03/15/2021,14,Baylor,22-2,22,2,11.7,2,224,14,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2021
2021,03/15/2021,15,Michigan St,15-12,15,12,11.5,8,96,15,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2021
2021,03/15/2021,16,Texas Tech,17-10,17,10,11.5,10,292,17,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2021
2021,03/15/2021,17,Northwestern,9-15,9,15,11.5,6,334,16,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2021
2021,03/15/2021,18,Kentucky,9-16,9,16,11.4,8,295,18,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2021
2021,03/15/2021,19,North Carolina,18-10,18,10,11.1,3,118,19,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2021
2021,03/15/2021,20,Minnesota,14-15,14,15,11.1,3,281,21,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2021
2021,03/15/2021,21,Maryland,16-13,16,13,11.1,11,229,20,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2021
2021,03/15/2021,22,Oklahoma,15-10,15,10,10.8,8,261,22,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2021
2021,03/15/2021,23,Alabama,24-6,24,6,10.8,14,287,23,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2021
2021,03/15/2021,24,Florida,14-9,14,9,10.6,17,140,24,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2021
2021,03/15/2021,25,Clemson,16-7,16,7,10.6,13,49,25,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2021
2021,03/15/2021,26,Missouri,16-9,16,9,10.5,4,269,26,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2021
2021,03/15/2021,27,Georgetown,13-12,13,12,10.4,26,266,27,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2021
2021,03/15/2021,28,Villanova,16-6,16,6,10.4,2,49,28,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2021
2021,03/15/2021,29,LSU,18-9,18,9,10.3,22,307,36,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2021
2021,03/15/2021,30,Seton Hall,14-13,14,13,10.3,5,105,29,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2021
2021,03/15/2021,31,UConn,15-7,15,7,10.2,29,314,30,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2021
2021,03/15/2021,32,Virginia,18-6,18,6,10.2,7,251,31,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2021
2021,03/15/2021,33,Florida St,16-6,16,6,10.2,7,285,32,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2021
2021,03/15/2021,34,Tennessee,18-8,18,8,10.1,12,143,33,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2021
