season_year,snapshot_date,rank,team,record,wins,losses,rating,hi,lo,last,source_url
2010,03/15/2010,1,Duke,29-5,29,5,20.1,1,202,1,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,2,Kansas,32-2,32,2,20.0,1,165,2,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,3,Kansas St,26-7,26,7,19.0,3,292,3,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,4,Georgetown,23-10,23,10,18.9,3,233,4,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,5,West Virginia,27-6,27,6,18.5,4,334,5,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,6,Maryland,23-8,23,8,18.5,3,271,6,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,7,Texas A&M,23-9,23,9,18.4,2,284,7,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,8,Wisconsin,23-8,23,8,18.4,2,316,8,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,9,Ohio St,27-7,27,7,18.3,3,310,12,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,10,Villanova,24-7,24,7,18.3,4,289,9,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,11,Baylor,25-7,25,7,18.2,4,336,10,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,12,Texas,24-9,24,9,18.2,4,93,11,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,13,Georgia Tech,22-12,22,12,17.9,10,313,19,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,14,Florida St,22-9,22,9,17.9,2,290,15,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,15,Clemson,21-10,21,10,17.8,11,229,13,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,16,Syracuse,28-4,28,4,17.8,3,252,14,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,17,North Carolina,16-16,16,16,17.8,1,275,16,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,18,Marquette,22-11,22,11,17.5,4,341,17,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,19,Purdue,27-5,27,5,17.4,4,281,18,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,20,Missouri,22-10,22,10,17.3,8,325,20,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,21,Minnesota,21-13,21,13,17.3,12,302,23,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,22,Michigan St,24-8,24,8,17.2,4,197,21,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,23,Wake Forest,19-10,19,10,17.2,8,240,22,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,24,Illinois,19-14,19,14,17.1,22,340,24,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,25,California,23-10,23,10,16.9,1,194,26,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,26,Tennessee,25-8,25,8,16.9,5,254,25,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,27,UConn,17-15,17,15,16.6,11,284,27,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,28,Louisville,20-12,20,12,16.6,9,187,28,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,29,Cincinnati,18-15,18,15,16.5,4,264,29,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,30,Vanderbilt,24-8,24,8,16.3,3,341,30,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,31,Oklahoma St,22-10,22,10,16.3,20,321,31,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,32,Kentucky,32-2,32,2,16.2,9,249,33,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,33,Michigan,15-17,15,17,16.1,29,339,32,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,34,Pittsburgh,24-8,24,8,16.0,5,188,34,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,35,NC State,19-15,19,15,16.0,33,316,36,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,36,Florida,21-12,21,12,16.0,6,259,35,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,37,Boston College,15-16,15,16,15.9,31,329,37,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,38,Iowa St,15-17,15,17,15.9,35,298,38,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,39,Virginia,15-16,15,16,15.8,39,289,39,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,40,St John's,17-15,17,15,15.8,35,291,42,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,41,Texas Tech,17-15,17,15,15.8,32,313,41,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,42,Virginia Tech,23-8,23,8,15.8,36,328,43,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,43,Miami,20-13,20,13,15.8,40,322,40,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,44,Mississippi,21-10,21,10,15.4,14,294,44,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,45,Oklahoma,13-18,13,18,15.4,15,307,45,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,46,Xavier,24-8,24,8,15.4,7,292,46,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,47,South Carolina,15-16,15,16,15.4,35,298,47,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,48,Georgia,14-17,14,17,15.3,35,280,48,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,49,Seton Hall,19-12,19,12,15.3,31,231,49,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,50,BYU,29-5,29,5,15.2,24,264,51,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,51,Notre Dame,23-11,23,11,15.1,40,325,50,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,52,Arizona,16-15,16,15,15.1,19,178,52,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,53,Mississippi St,23-11,23,11,15.0,38,330,59,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,54,Providence,12-19,12,19,15.0,46,271,53,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,55,Washington,24-9,24,9,14.9,16,182,54,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,56,Alabama,17-15,17,15,14.8,26,194,55,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,57,Arizona St,22-10,22,10,14.7,13,264,56,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,58,Nebraska,15-18,15,18,14.7,54,315,58,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,59,Penn St,11-20,11,20,14.6,56,327,57,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,60,USC,16-14,16,14,14.6,17,307,60,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,61,Colorado,15-16,15,16,14.3,54,339,61,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,62,S Florida,20-12,20,12,14.2,22,201,62,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,63,Northwestern,20-13,20,13,14.0,36,312,63,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,64,UNLV,25-8,25,8,14.0,38,295,64,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,65,UCLA,14-18,14,18,14.0,17,266,65,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,66,San Diego St,25-8,25,8,13.9,26,305,66,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,67,Stanford,14-18,14,18,13.9,53,211,67,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,68,Temple,29-5,29,5,13.8,11,208,68,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,69,Gonzaga,26-6,26,6,13.6,3,324,69,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,70,New Mexico,29-4,29,4,13.5,45,274,70,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,71,Richmond,26-8,26,8,13.5,10,279,72,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,72,Dayton,20-12,20,12,13.3,5,144,71,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,73,Butler,28-4,28,4,13.1,3,123,73,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,74,Memphis,23-9,23,9,13.1,2,234,74,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,75,UTEP,26-6,26,6,13.1,62,329,75,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,76,Iowa,10-22,10,22,12.9,73,216,76,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,77,Auburn,15-17,15,17,12.8,46,174,77,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
2010,03/15/2010,78,Indiana,10-21,10,21,12.7,76,344,78,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2010
