season_year,snapshot_date,rank,team,record,wins,losses,rating,hi,lo,last,source_url
2016,03/15/2016,1,Kansas,30-4,30,4,11.8,1,209,1,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2016
2016,03/15/2016,2,Virginia,26-7,26,7,11.7,1,220,2,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2016
2016,03/15/2016,3,West Virginia,26-8,26,8,11.3,1,275,3,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2016
2016,03/15/2016,4,Oklahoma,25-7,25,7,11.2,1,98,4,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2016
2016,03/15/2016,5,North Carolina,28-6,28,6,10.9,1,116,5,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2016
2016,03/15/2016,6,Louisville,23-8,23,8,10.6,5,294,6,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2016
2016,03/15/2016,7,Iowa St,21-11,21,11,10.6,4,99,7,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2016
2016,03/15/2016,8,Texas,20-12,20,12,10.5,5,109,8,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2016
2016,03/15/2016,9,Duke,23-10,23,10,10.4,3,236,9,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2016
2016,03/15/2016,10,Miami,25-7,25,7,10.1,7,292,10,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2016
2016,03/15/2016,11,Michigan St,29-5,29,5,10.0,1,267,11,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2016
2016,03/15/2016,12,Baylor,22-11,22,11,10.0,11,142,12,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2016
2016,03/15/2016,13,Purdue,26-8,26,8,9.7,3,267,13,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2016
2016,03/15/2016,14,Iowa,21-10,21,10,9.5,1,320,14,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2016
2016,03/15/2016,15,Villanova,29-5,29,5,9.4,1,246,15,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2016
2016,03/15/2016,16,Kentucky,26-8,26,8,9.2,5,170,16,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2016
2016,03/15/2016,17,Maryland,25-8,25,8,9.2,10,236,17,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2016
2016,03/15/2016,18,Florida,19-14,19,14,9.1,1,243,18,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2016
2016,03/15/2016,19,Notre Dame,21-11,21,11,9.1,13,301,19,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2016
2016,03/15/2016,20,Vanderbilt,19-13,19,13,9.1,1,296,20,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2016
2016,03/15/2016,21,Michigan,22-12,22,12,8.5,9,307,21,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2016
2016,03/15/2016,22,Kansas St,17-16,17,16,8.5,21,298,22,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2016
2016,03/15/2016,23,Wisconsin,20-12,20,12,8.5,18,263,23,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2016
2016,03/15/2016,24,Pittsburgh,21-11,21,11,8.4,21,330,24,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2016
2016,03/15/2016,25,Georgia Tech,19-14,19,14,8.4,17,294,25,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2016
2016,03/15/2016,26,Utah,26-8,26,8,8.3,16,263,26,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2016
2016,03/15/2016,27,Texas Tech,19-12,19,12,8.3,19,197,27,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2016
2016,03/15/2016,28,Indiana,25-7,25,7,8.2,11,266,28,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2016
2016,03/15/2016,29,Texas A&M,26-8,26,8,8.2,13,323,29,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2016
2016,03/15/2016,30,Syracuse,19-13,19,13,8.2,18,235,30,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2016
2016,03/15/2016,31,Xavier,27-5,27,5,8.1,3,192,31,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2016
2016,03/15/2016,32,Florida St,19-13,19,13,8.1,9,326,32,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2016
2016,03/15/2016,33,Butler,21-10,21,10,7.9,2,226,33,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2016
2016,03/15/2016,34,Wake Forest,11-20,11,20,7.8,15,301,34,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2016
2016,03/15/2016,35,Oregon,28-6,28,6,7.7,34,287,35,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2016
