season_year,snapshot_date,rank,team,record,wins,losses,rating,hi,lo,last,source_url
2015,03/15/2015,1,Kansas,26-8,26,8,11.6,1,121,2,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,2,North Carolina,24-11,24,11,11.5,1,172,1,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,3,Duke,29-4,29,4,11.4,1,149,3,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,4,Oklahoma,22-10,22,10,10.6,1,293,4,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,5,Iowa St,25-8,25,8,10.5,5,206,5,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,6,Virginia,29-3,29,3,9.8,4,237,6,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,7,Louisville,24-8,24,8,9.7,5,84,7,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,8,Wisconsin,30-3,30,3,9.7,3,222,9,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,9,Texas,20-13,20,13,9.6,3,237,10,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,10,Baylor,24-9,24,9,9.6,7,297,11,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,11,Kentucky,33-0,33,0,9.5,1,197,8,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,12,Michigan St,23-10,23,10,9.1,4,155,12,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,13,Iowa,21-11,21,11,8.9,6,229,14,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,14,Ohio St,23-10,23,10,8.8,7,265,13,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,15,Notre Dame,29-5,29,5,8.7,11,317,19,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,16,Oklahoma St,18-13,18,13,8.7,11,325,15,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,17,West Virginia,23-9,23,9,8.6,13,218,16,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,18,Florida,16-17,16,17,8.5,5,212,17,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,19,Georgetown,21-10,21,10,8.4,10,314,18,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,20,Kansas St,15-17,15,17,8.2,11,306,20,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,21,Villanova,32-2,32,2,8.1,8,268,24,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,22,Butler,22-10,22,10,8.1,10,336,21,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,23,Utah,24-8,24,8,8.0,8,269,22,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,24,NC State,20-13,20,13,8.0,19,308,23,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,25,Providence,22-11,22,11,7.9,23,288,25,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,26,Arizona,31-3,31,3,7.9,1,218,26,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,27,Maryland,27-6,27,6,7.9,11,322,27,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,28,Purdue,21-12,21,12,7.8,26,332,31,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,29,Xavier,21-13,21,13,7.7,23,254,32,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,30,Michigan,16-16,16,16,7.6,28,300,28,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,31,Illinois,19-13,19,13,7.5,19,317,29,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,32,Indiana,20-13,20,13,7.4,18,293,30,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,33,Minnesota,18-15,18,15,7.2,2,68,33,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,34,Georgia,21-11,21,11,7.1,21,180,34,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,35,Syracuse,18-13,18,13,7.0,23,272,35,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,36,UCLA,20-13,20,13,6.9,20,285,36,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,37,St John's,21-11,21,11,6.9,33,339,37,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,38,Miami,21-12,21,12,6.7,20,293,38,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,39,Stanford,19-13,19,13,6.6,9,183,39,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,40,Marquette,13-19,13,19,6.4,17,275,40,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,41,TCU,18-15,18,15,6.4,40,334,41,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,42,Nebraska,13-18,13,18,6.2,38,306,42,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,43,Georgia Tech,12-19,12,19,6.1,36,205,43,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,44,South Carolina,17-16,17,16,6.1,37,259,44,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,45,Gonzaga,32-2,32,2,6.1,5,228,45,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,46,Tennessee,16-16,16,16,6.0,8,81,46,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,47,Arkansas,26-7,26,7,5.9,16,236,51,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,48,Alabama,18-14,18,14,5.9,34,269,47,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,49,Boston College,13-19,13,19,5.8,25,281,49,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,50,Mississippi,20-12,20,12,5.8,35,300,48,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,51,Creighton,14-19,14,19,5.7,41,321,50,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,52,VCU,25-9,25,9,5.7,6,100,55,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,53,Seton Hall,16-15,16,15,5.7,35,225,52,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,54,Penn St,18-16,18,16,5.6,53,291,53,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,55,Northwestern,15-17,15,17,5.6,53,296,54,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,56,Oregon,25-9,25,9,5.5,45,292,61,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,57,Pittsburgh,19-14,19,14,5.4,22,324,56,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,58,Texas A&M,20-11,20,11,5.3,45,303,57,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,59,Clemson,16-15,16,15,5.3,43,287,58,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,60,Wake Forest,13-19,13,19,5.2,45,241,59,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,61,Arizona St,17-15,17,15,5.2,40,331,60,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,62,Colorado,15-17,15,17,5.1,36,218,62,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,63,Florida St,17-16,17,16,5.1,47,172,64,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,64,Rutgers,10-22,10,22,5.1,49,275,63,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,65,LSU,22-10,22,10,5.0,55,230,65,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,66,Vanderbilt,19-13,19,13,4.8,57,346,66,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,67,BYU,25-9,25,9,4.4,27,234,67,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,68,Texas Tech,13-19,13,19,4.4,68,294,68,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,69,Auburn,15-20,15,20,4.4,62,223,73,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,70,UConn,20-13,20,13,4.3,8,253,70,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,71,Missouri,9-23,9,23,4.3,60,259,69,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,72,Davidson,24-7,24,7,4.2,53,342,74,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,73,California,18-15,18,15,4.2,9,322,72,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,74,DePaul,12-20,12,20,4.2,62,334,71,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,75,San Diego St,26-8,26,8,4.0,3,227,75,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,76,Washington,16-15,16,15,3.9,59,345,76,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,77,Richmond,19-13,19,13,3.9,16,232,77,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,78,G Washington,21-12,21,12,3.9,20,295,78,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
2015,03/15/2015,79,SMU,26-6,26,6,3.7,2,261,81,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2015
