season_year,snapshot_date,rank,team,record,wins,losses,rating,hi,lo,last,source_url
2009,03/15/2009,1,West Virginia,23-11,23,11,18.1,1,217,1,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,2,Duke,27-6,27,6,17.9,1,190,2,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,3,UConn,27-4,27,4,17.8,1,226,4,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,4,North Carolina,28-4,28,4,17.8,1,201,3,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,5,Pittsburgh,28-4,28,4,17.5,3,304,5,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,6,Syracuse,26-9,26,9,17.2,5,273,6,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,7,Louisville,28-5,28,5,17.0,2,280,7,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,8,Georgetown,16-14,16,14,16.6,1,324,8,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,9,Arizona St,24-9,24,9,16.3,6,341,11,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,10,Villanova,26-7,26,7,16.3,5,264,12,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,11,USC,21-12,21,12,16.3,10,246,17,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,12,Oklahoma St,22-11,22,11,16.3,9,270,9,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,13,Kansas,25-7,25,7,16.2,1,299,10,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,14,Oklahoma,27-5,27,5,16.2,9,252,13,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,15,Michigan St,26-6,26,6,16.1,5,238,14,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,16,Wake Forest,24-6,24,6,16.1,6,314,15,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,17,Washington,25-8,25,8,16.0,8,170,16,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,18,Notre Dame,18-14,18,14,16.0,4,318,19,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,19,Tennessee,21-11,21,11,15.9,1,145,21,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,20,Texas,22-11,22,11,15.9,7,274,18,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,21,UCLA,25-8,25,8,15.9,9,334,20,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,22,Florida St,25-8,25,8,15.8,12,245,30,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,23,Arizona,19-13,19,13,15.8,18,285,22,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,24,Missouri,28-6,28,6,15.8,10,327,23,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,25,Baylor,20-14,20,14,15.7,8,321,27,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,26,California,22-10,22,10,15.6,13,203,25,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,27,Washington St,17-15,17,15,15.6,23,336,24,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,28,Marquette,24-9,24,9,15.5,18,321,26,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,29,Clemson,23-8,23,8,15.4,10,262,28,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,30,Gonzaga,26-5,26,5,15.3,1,281,29,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,31,Memphis,31-3,31,3,15.3,3,223,32,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,32,Miami,18-12,18,12,15.3,4,311,31,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,33,Maryland,20-13,20,13,15.2,1,325,36,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,34,Purdue,24-9,24,9,15.2,15,284,34,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,35,Michigan,20-13,20,13,15.2,7,335,33,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,36,Illinois,24-9,24,9,15.1,16,253,35,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,37,Ohio St,22-9,22,9,15.0,5,338,38,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,38,Wisconsin,19-12,19,12,14.8,8,208,37,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,39,Virginia Tech,18-14,18,14,14.5,39,242,39,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,40,Oregon,8-23,8,23,14.5,22,250,40,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,41,Virginia,10-18,10,18,14.4,37,189,41,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,42,Kentucky,20-13,20,13,14.0,1,138,42,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,43,Stanford,18-13,18,13,14.0,16,319,43,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,44,Kansas St,21-11,21,11,13.9,26,338,44,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,45,Texas Tech,14-19,14,19,13.8,39,310,45,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,46,Minnesota,22-10,22,10,13.7,45,311,46,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,47,S Florida,9-22,9,22,13.7,31,305,47,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,48,Boston College,22-11,22,11,13.7,29,291,48,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,49,Texas A&M,23-9,23,9,13.5,15,299,49,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,50,Xavier,25-7,25,7,13.5,3,287,50,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,51,Utah,24-9,24,9,13.5,25,264,54,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,52,Cincinnati,18-14,18,14,13.5,36,338,53,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,53,Northwestern,17-13,17,13,13.5,31,333,52,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,54,NC State,16-14,16,14,13.5,47,322,51,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,55,Georgia Tech,12-19,12,19,13.4,33,309,55,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,56,Providence,19-13,19,13,13.2,50,329,56,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,57,UAB,22-11,22,11,13.1,9,197,57,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,58,Iowa,15-17,15,17,13.1,42,314,59,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,59,Nebraska,18-12,18,12,13.1,53,251,58,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,60,Seton Hall,17-15,17,15,13.0,39,332,60,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,61,Florida,23-10,23,10,13.0,11,240,61,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,62,BYU,25-7,25,7,12.9,35,305,62,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,63,Temple,22-11,22,11,12.8,3,183,63,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,64,San Diego St,23-9,23,9,12.3,64,304,65,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,65,Mississippi,16-15,16,15,12.3,58,250,64,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,66,LSU,26-7,26,7,12.1,62,342,66,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,67,Tulsa,24-10,24,10,12.1,20,153,76,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,68,St John's,16-17,16,17,12.1,65,304,67,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,69,UNLV,21-10,21,10,12.0,57,221,68,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,70,South Carolina,21-9,21,9,12.0,60,296,69,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,71,Indiana,6-25,6,25,11.9,36,301,71,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,72,New Mexico,21-11,21,11,11.9,17,254,72,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,73,Oregon St,13-17,13,17,11.9,66,330,70,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,74,Penn St,22-11,22,11,11.9,62,339,73,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,75,Auburn,22-11,22,11,11.8,74,267,77,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,76,Vanderbilt,19-12,19,12,11.8,39,331,74,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,77,UTEP,19-12,19,12,11.8,37,308,75,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,78,Mississippi St,22-12,22,12,11.7,28,332,78,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,79,Butler,26-5,26,5,11.2,10,132,79,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,80,DePaul,9-24,9,24,11.1,80,256,80,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,81,Houston,21-11,21,11,11.0,65,286,81,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
2009,03/15/2009,82,Iowa St,15-17,15,17,10.9,79,326,82,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2009
