season_year,snapshot_date,rank,team,record,wins,losses,rating,hi,lo,last,source_url
2018,03/15/2018,1,North Carolina,25-10,25,10,12.5,1,156,1,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2018
2018,03/15/2018,2,Duke,26-7,26,7,11.3,1,162,2,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2018
2018,03/15/2018,3,Kansas,27-7,27,7,11.3,1,225,3,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2018
2018,03/15/2018,4,West Virginia,24-10,24,10,11.2,2,51,4,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2018
2018,03/15/2018,5,Virginia,31-2,31,2,10.9,3,216,5,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2018
2018,03/15/2018,6,Texas,19-14,19,14,10.7,4,278,7,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2018
2018,03/15/2018,7,Villanova,30-4,30,4,10.7,3,262,6,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2018
2018,03/15/2018,8,Tennessee,25-8,25,8,10.6,1,334,8,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2018
2018,03/15/2018,9,Oklahoma,18-13,18,13,10.6,2,271,9,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2018
2018,03/15/2018,10,Texas Tech,24-9,24,9,10.4,6,329,10,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2018
2018,03/15/2018,11,Baylor,19-14,19,14,10.3,5,323,11,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2018
2018,03/15/2018,12,Florida,20-12,20,12,10.3,2,282,13,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2018
2018,03/15/2018,13,Kentucky,24-10,24,10,10.3,8,173,14,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2018
2018,03/15/2018,14,Purdue,28-6,28,6,10.3,2,241,12,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2018
2018,03/15/2018,15,Texas A&M,20-12,20,12,10.2,1,42,16,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2018
2018,03/15/2018,16,Michigan,28-7,28,7,10.2,7,303,15,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2018
2018,03/15/2018,17,Butler,20-13,20,13,10.1,7,276,17,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2018
2018,03/15/2018,18,TCU,21-11,21,11,9.9,12,248,18,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2018
2018,03/15/2018,19,Xavier,28-5,28,5,9.7,12,232,19,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2018
2018,03/15/2018,20,Michigan St,29-4,29,4,9.6,1,220,20,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2018
2018,03/15/2018,21,Alabama,19-15,19,15,9.5,18,207,21,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2018
2018,03/15/2018,22,Seton Hall,21-11,21,11,9.4,17,253,22,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2018
2018,03/15/2018,23,Clemson,23-9,23,9,9.4,17,326,23,https://www.teamrankings.com/ncaa-basketball/ranking/schedule-strength-by-other?date=03%2F15%2F2018
