,count,mean,std,min,max,range
TeamCohesion,210.0,4.030952380952381,0.8764565717270256,1.5,5.0,3.5
SocialIdentity,210.0,9.32857142857143,0.8046770323878364,6.5,10.0,3.5
PsychSafety,210.0,4.438095238095238,0.8291785238289338,1.0,5.0,4.0
SelfEfficacy,210.0,4.321428571428571,0.7371014337129466,1.5,5.0,3.5
Performance,210.0,9.342857142857143,0.8508770755379463,6.0,10.0,4.0
Learning,210.0,9.414285714285715,0.8442236683410899,6.0,10.0,4.0
Growth,210.0,4.428571428571429,1.0199647508417493,1.0,5.0,4.0
WillingnessFuture,210.0,4.392857142857143,0.8106329434262305,1.0,5.0,4.0
